,Unnamed: 0,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,state,date
335,335,12:07:37,36.4743333,-81.0865,4.14,5.1,mw,34.0,50.0,0.4521,0.38,se,se60324281,2020-10-22T16:47:06.759Z,Virginia-North Carolina border region,earthquake,0.4,1.81,,0.0,reviewed,se,se,er region,2020-08-09
1172,1172,09:14:43,35.6123333,-84.73200000000001,7.87,4.4,mw,32.0,40.0,,0.14,se,se60247871,2020-03-21T11:24:59.986Z,"12km NNE of Decatur, Tennessee",earthquake,0.22,0.66,,0.0,reviewed,se,se,Tennessee,2018-12-12
3780,3780,09:58:43,36.8733333,-89.42266670000002,7.81,3.9,mw,65.0,38.0,,0.19,nm,nm609348,2016-04-07T19:21:56.169Z,"8km SW of Charleston, Missouri",earthquake,0.18,0.46,0.042,3.0,reviewed,nm,nm, Missouri,2012-02-21
5515,5515,11:35:11,36.1501667,-89.4735,15.02,4.0,mw,35.0,57.0,0.03105,0.07,nm,nm605762,2016-04-26T21:01:22.665Z,"12km S of Ridgely, Tennessee",earthquake,0.2,0.6,0.457,9.0,reviewed,nm,nm,Tennessee,2005-06-02
5541,5541,12:37:31,35.835,-90.147,10.0,4.2,mw,32.0,65.0,0.05089,0.08,nm,nm605742,2016-04-26T20:59:56.017Z,"5km SSE of Manila, Arkansas",earthquake,0.3,0.8,0.316,2.0,reviewed,nm,nm, Arkansas,2005-05-01
5600,5600,14:04:53,35.7591667,-90.2498333,15.48,4.1,mw,36.0,63.0,,0.09,nm,nm605688,2016-04-26T20:48:41.301Z,"6km E of Caraway, Arkansas",earthquake,0.4,0.5,0.251,16.0,reviewed,nm,nm, Arkansas,2005-02-10
5980,5980,12:29:34,36.8788333,-88.9958333,2.5,4.0,mw,42.0,50.0,0.1184,0.29,nm,nm605194,2020-02-12T19:06:53.281Z,"1km NE of Bardwell, Kentucky",earthquake,1.2,1.3,0.363,5.0,reviewed,nm,nm, Kentucky,2003-06-06
6004,6004,04:56:21,35.945,-89.9161667,23.68,4.0,md,31.0,75.0,0.08369,0.07,nm,nm605172,2020-02-12T19:08:10.361Z,"1km N of Blytheville, Arkansas",earthquake,0.3,0.6,0.396,15.0,reviewed,nm,nm, Arkansas,2003-04-30
6013,6013,08:59:39,34.4938333,-85.6298333,19.81,4.6,mw,21.0,154.0,,0.07,se,se605341,2020-07-10T14:36:05.655Z,"9km NE of Fort Payne, Alabama",earthquake,0.8,0.9,,,reviewed,se,se,", Alabama",2003-04-29
6219,6219,01:08:21,34.735,-86.245,5.0,3.9,mblg,8.0,,,0.32,us,usp000au76,2020-02-12T19:13:00.972Z,Alabama,earthquake,,,,,reviewed,us,us,Alabama,2001-12-08
7003,7003,08:50:14,36.981,-83.01799999999999,0.0,3.9,mb,,,,1.4,us,usp0007gc1,2014-11-07T01:00:18.132Z,eastern Kentucky,explosion,,,,6.0,reviewed,us,us, Kentucky,1996-04-19
7251,7251,01:18:54,36.575,-89.825,11.2,4.5,md,,,,,nm,nm603867,2020-07-10T14:26:48.086Z,"12km E of Malden, Missouri",earthquake,,,,,reviewed,nm,nm, Missouri,1991-05-04
7345,7345,21:01:17,36.794,-83.34,10.0,4.0,mblg,,,,0.6,us,usp0004djc,2014-11-07T00:46:57.599Z,eastern Kentucky,earthquake,,,,,reviewed,us,bla, Kentucky,1990-08-17
7564,7564,16:47:51,36.088,-89.775,11.7,4.3,md,,,,,nm,nm603471,2020-08-25T22:29:27.980Z,"4km E of Steele, Missouri",earthquake,,,,,reviewed,nm,nm, Missouri,1989-04-27
7738,7738,00:04:56,36.953,-89.15899999999998,11.2,4.3,md,,,,,nm,nm603237,2020-04-16T19:37:31.400Z,"6km SSE of Cairo, Illinois",earthquake,,,,,reviewed,nm,nm, Illinois,1987-09-29
7815,7815,21:17:13,36.576,-89.735,9.5,4.1,md,,,,,nm,nm603134,2016-04-14T17:50:45.098Z,"10km W of Lilbourn, Missouri",earthquake,,,,,reviewed,nm,nm, Missouri,1987-06-13
7850,7850,07:29:30,35.57,-84.21,19.5,4.2,md,,,,,se,se603077,2020-07-10T14:35:55.193Z,"3km SE of Vonore, Tennessee",earthquake,,,,,reviewed,se,se,Tennessee,1987-03-27
8317,8317,11:54:26,34.74,-85.16,5.0,4.2,md,,,,,se,se602423,2020-07-10T14:35:42.907Z,"11km ENE of LaFayette, Georgia",earthquake,,,,,reviewed,se,se,", Georgia",1984-10-09
8852,8852,11:53:44,36.03,-89.18,22.8,4.0,md,,,,,nm,nm601510,2018-06-04T20:43:45.000Z,"11km SE of Newbern, Tennessee",earthquake,,,,,reviewed,nm,nm,Tennessee,1981-08-07
